中文名,外文名,QS
卡托维兹西里西亚大学,Uniwersytet Śląski w Katowicach,
华沙社会心理学与人文大学,Uniwersytet SWPS,
比亚威斯托克大学,Uniwersytet w Białymstoku,
格但斯克WSB梅里托大学,Uniwersytet WSB Merito w Gdańsku,
伍伦贡学院,UOW College,
伍伦贡马来西亚伯乐槟城大学学院,UOW MALAYSIA KDU Penang University College,
上爱荷华大学,Upper Iowa University,
乌尔辛纳斯学院,Ursinus College,
乌尔苏拉学院,Ursuline College,
乌斯库达大学,Uskudar University,
索科托乌斯马努丹佛迪尤大学,Usmanu Danfodiyo University Sokoto,
犹他理工大学,Utah Tech University,
犹他山谷大学,Utah Valley University,
乌特勒支应用科学大学,Utrecht University of Applied Sciences,
程逸皇家大学,Uttaradit Rajabhat University,
北阿坎德邦梵语大学,Uttarakhand Sanskrit University,
北阿坎德邦技术大学,Uttarakhand Technical University,
UUNZ商业学院,UUNZ Institute of Business,
西印度群岛大学商业与应用研究学院,UWI School of Business and Applied Studies Limited,
乌兹别克斯坦国立体育与运动大学,Uzbekistan State University of Physical Education and Sports,
乌兹别克斯坦国立世界语言大学,Uzbekistan State World Languages University,
哈尔科夫国立大学,V.N.Karazin Kharkiv National University,851-900
瓦萨应用科学大学,Vaasa University of Applied Sciences,
瓦莱阿隆功皇家大学,Valaya Alongkorn Rajabhat University,
瓦尔多斯塔州立大学,Valdosta State University,
河谷市州立大学,Valley City State University,
谷景大学,Valley View University,
温哥华社区学院,Vancouver Community College,
温哥华岛大学,Vancouver Island University,
范德库克音乐学院,VanderCook College of Music,
南加利福尼亚先锋大学,Vanguard University of Southern California,
瓦尼埃学院,Vanier College,
瓦尔纳自由大学,Varna Free University Chernorizets Hrabar,
瓦萨尔学院,Vassar College,
喀尔巴阡国立大学,Vasyl Stefanyk Precarpathian National University,
沃恩航空科技学院,Vaughn College of Aeronautics and Technology,
维尔纳尔默德南古吉拉特大学,Veer Narmad South Gujarat University,
维里塔斯大学学院,Veritas University College,
VIA大学学院,VIA University College,
维多利亚国际应用技术大学,VICTORIA Internationale Hochschule,
维多利亚理工学院,Victorian Institute of Technology,
维德雅瑟格大学,Vidyasagar University,
维迪亚西里梅迪科学技术研究院,Vidyasirimedhi Institute of Science and Technology,
万象河内友谊技术职业学院,Vientiane-Hanoi Friendship Technical-Vocational College,
越南国家农业大学,Vietnam National University of Agriculture,
河内国家大学,"Vietnam National University, Hanoi",751-760
越南胡志明市国家大学附属科学大学,Vietnam National University Ho Chi Minh City-University of Science,
越南胡志明市国家大学附属人文社会科学大学,Vietnam National University Ho Chi Minh City-University of Social Sciences and Humanities,
越南胡志明市国家大学附属技术大学,Vietnam National University Ho Chi Minh City-University of Technology,
越南商业大学,Vietnam University of Commerce,
韩国理工VII大学,한국폴리텍 VII 대학,
维拉学院,Villa College,
维尔纽斯艺术学院,Vilniaus dailės akademija,
维纳耶格使命锡金邦大学,Vinayaka Missions Sikkim University,
温森斯大学,Vincennes University,
文尼察国立师范大学,Vinnytsia Mykhailo Kotsiubynskyi State Pedagogical University,
文尼察国立农业大学,Vinnytsia National Agrarian University,
文尼察国立技术大学,Vinnytsia National Technical University,
VIN大学,VinUniversity,
弗吉尼亚军事学院,Virginia Military Institute,
弗吉尼亚州立大学,Virginia State University,
弗吉尼亚联合大学,Virginia Union University,
弗吉尼亚卫斯理大学,Virginia Wesleyan University,
维什沃格尔玛大学,Vishwakarma University,
印度国际大学,Visva Bharati,
那格浦尔维斯瓦拉亚国家技术学院,"Visvesvaraya National Institute of Technology, Nagpur",
维特博大学,Viterbo University,
弗拉瑞克商学院,Vlerick Business School,
越南河内国家大学附属社会与人文科学学院,VNU College of Social Sciences and Humanities,
越南河内国家大学附属经济与商业大学,VNU University of Economics and Business,
越南河内国家大学附属语言与国际研究大学,VNU University of Languages and International Studies,
越南河内国家大学附属医药大学,VNU University of Medicine and Pharmacy,
越南河内国家大学附属社会与人文科学大学,VNU University of Social Sciences and Humanities,
东乌克兰国立大学,Volodymyr Dahl East Ukrainian National University,
翁查瓦里功大学,Vongchavalitkul University,
奥斯特拉发技术大学,VSB-Technical University of Ostrava,
布拉格经济大学,Vysoká škola ekonomická v Praze,
布拉迪斯拉发美术学院,Vysoká škola výtvarných umení v Bratislave,
沃巴什学院,Wabash College,
瓦赫宁根大学,Wageningen Universiteit,
瓦格纳学院,Wagner College,
怀卡托理工学院,Waikato Institute of Technology,
维克技术社区学院,Wake Technical Community College,
沃拉沃拉大学,Walla Walla University,
沃尔什会计与工商管理学院,Walsh College of Accountancy and Business Administration,
沃尔特西苏鲁大学,Walter Sisulu University,
旺阿努伊理工学院,Wanganui Polytechnic,
沃伦威尔逊学院,Warren Wilson College,
沃特伯格学院,Wartburg College,
沃西本恩大学,Washburn University,
华盛顿基督复临大学,Washington Adventist University,
华盛顿杰斐逊学院,Washington and Jefferson College,
华盛顿与杰斐逊学院,Washington & Jefferson College,
华盛顿与李大学,Washington and Lee University,
华盛顿学院,Washington College,
沃什特瑙社区学院,Washtenaw Community College,
韦兰浸会大学,Wayland Baptist University,
韦恩斯堡大学,Waynesburg University,
韦伯国际大学,Webber International University,
韦伯州立大学,Weber State University,
韦伯斯特大学,Webster University,
柏林白湖艺术学院,Weißensee Kunsthochschule Berlin,
维克勒•山道尔商业学院,Wekerle Sándor Üzleti Főiskola,
威尔斯利学院,Wellesley College,
惠灵顿理工学院,Wellington Institute of Technology,
韦纳奇谷学院,Wenatchee Valley College,
文特沃斯高等教育学院,Wentworth Institute of Higher Education,
温特沃斯理工学院,Wentworth Institute of Technology,
卫斯理安学院,Wesleyan College,
马尼拉维斯里安学院,Wesleyan College of Manila,
卫斯理大学,Wesleyan University,
菲律宾卫斯理大学,Wesleyan University-Philippines,
宾夕法尼亚州西切斯特大学,West Chester University of Pennsylvania,
西自由大学,West Liberty University,
西波美拉尼亚技术大学,West Pomeranian University of Technology in Szczecin,
西德克萨斯农工大学,West Texas A&M University,
西乌克兰国立大学,West Ukrainian National University,
西谷学院,West Valley College,
西弗吉尼亚州立大学,West Virginia State University,
西米沙鄢国立大学,West Visayas State University,
威彻斯特社区学院,Westchester Community College,
西崖大学,Westcliff University,
西卡罗莱纳大学,Western Carolina University,
西里海大学,Western Caspian University,
西康涅狄格州立大学,Western Connecticut State University,
西部州长大学,Western Governors University,
西伊利诺伊大学,Western Illinois University,
西部理工学院,Western Institute of Technology,
西方理工学院,Western Institute of Technology at Taranaki,
西肯塔基大学,Western Kentucky University,
西棉兰老岛国立大学,Western Mindanao State University,
西新英格兰大学,Western New England University,
西新墨西哥大学,Western New Mexico University,
西俄勒冈大学,Western Oregon University,
西部卫生科学大学,Western University of Health Sciences,
西法伦应用技术大学,Westfälische Hochschule,
韦斯特菲尔德州立大学,Westfield State University,
西敏斯特学院（密苏里州）,Westminster College,
西敏斯特学院（犹他州）,Westminster College,
威斯敏斯特神学院,Westminster Theological Seminary,
西敏斯特大学,Westminster University,
威斯蒙特学院,Westmont College,
茨维考西萨克森应用技术大学,Westsächsische Hochschule Zwickau,
霍特科社区学院,Whatcom Community College,
威顿学院（马萨诸塞州）,Wheaton College (Massachusetts),
威顿学院（伊利诺伊州）,Wheaton College,
怀特克利夫学院,Whitecliffe College,
澳大利亚怀特豪斯设计学院,"Whitehouse Institute of Design, Australia",
维特利亚理工学院,Whitireia Community Polytechnic,
惠特曼学院,Whitman College,
惠提尔学院,Whittier College,
惠特沃斯大学,Whitworth University,
法伦达尔WHU管理学院,WHU-Otto Beisheim School of Management,
威奇塔州立大学,Wichita State University,
维达大学学院,Widad University College,
韦德纳大学,Widener University,
维利学院,Wiley College,
威尔克斯大学,Wilkes University,
威拉姆特大学,Willamette University,
威廉安格利斯技术与继续教育学院,William Angliss Institute of TAFE,
威廉凯瑞大学,William Carey University,
威廉杰瑟普大学,William Jessup University,
威廉贾威尔学院,William Jewell College,
新泽西威廉佩特森大学,William Paterson University of New Jersey,
威廉匹斯大学,William Peace University,
霍巴特和威廉史密斯学院（威廉史密斯学院）,"William Smith College, Hobart and William Smith Colleges",
威廉伍德大学,William Woods University,
威廉姆斯学院,Williams College,851-900
威廉姆森学院,Williamson College,
威明顿大学,Wilmington University,
温德斯海姆应用科学大学,Windesheim University of Applied Sciences,
温盖特大学,Wingate University,
威诺纳州立大学,Winona State University,
温斯顿萨勒姆州立大学,Winston-Salem State University,
温斯洛普大学,Winthrop University,
威斯康星路德学院,Wisconsin Lutheran College,
威顿堡大学,Wittenberg University,
威登堡应用科学大学,Wittenborg University of Applied Sciences,
伍佛德学院,Wofford College,
木尔坦女子大学,The Women University Multan,
Won研究学院,The Won Institute of Graduate Studies,
伍德伯里大学,Woodbury University,
伍斯特州立大学,Worcester State University,
世界城市学院,World Citi Colleges,
世界伊斯兰科学与教育大学,The World Islamic Sciences and Education University,
世界海事大学,World Maritime University,
雷克瑟姆大学,Wrexham University,
赖特学院,The Wright Institute,
弗罗茨瓦夫语言学院,Wyższa Szkoła Filologiczna we Wrocławiu,
琴斯托霍瓦语言学院,Wyższa Szkoła Lingwistyczna w Częstochowie,
国际与区域合作高等学院,Wyższa Szkoła Współpracy Międzynarodowej i Regionalnej im. Zygmunta Glogera,
沃沃明国际与区域合作大学,Wyższa Szkoła Współpracy Międzynarodowej i Regionalnej im. Zygmunta Glogera w Wołominie,
弗罗茨瓦夫管理学院,"Wyższa szkoła zarządzania ""Edukacja"" we Wrocławiu",
新松奇商学院-路易斯大学,Wyzsza Szkola Biznesu-National-Louis University z Siedziba w Nowym Saczu,
泽维尔大学,Xavier University,
路易斯安那圣泽维尔大学,Xavier University of Louisiana,
XU指数应用技术大学,XU Exponential University of Applied Sciences,
雅丹那博大学,Yadanabon University,
仰光理工大学,Yangon Technological University,
仰光经济大学,Yangon University of Economics,
仰光外国语大学,Yangon University of Foreign Languages,
智者雅罗斯拉夫国立法律大学,Yaroslav Mudryi National Law University,
乌克兰国家科学院焊接研究所,Ye.O.Paton Electric Welding Institute of National Academy of Sciences of Ukraine,
埃里温国立语言与社会科学大学,Yerevan Brusov State University of Languages and Social Sciences,
埃里温格拉佐大学,Yerevan Gladzor University,
埃里温“艾布萨克”大学,Yerevan Haybusak University,
埃里温国立音乐学院,Yerevan State Conservatory after Komitas,
埃里温国立戏剧与电影学院,Yerevan State Institute of Theatre and Cinematography,
埃里温国立医学大学,Yerevan State Medical University after Mkhitar Heratsi,
埃里温国立大学,Yerevan State University,1001-1200
耶津农业大学,Yezin Agricultural University,
YIC京都宠物综合专门学校,YIC京都ペット総合専門学校,
YIC看护福祉专门学校,YIC看護福祉専門学校,
专门学校YIC京都工科汽车大学校,＜専＞YIC京都工科自動車大学校,
大阪YMCA国际专门学校,大阪YMCA国際専門学校,
和歌山YMCA国际福祉专门学校,和歌山YMCA国際福祉専門学校,
横滨YMCA学院专门学校,横浜YMCA学院専門学校,
熊本YMCA学院,熊本YMCA学院,
YNOV学院,YNOV,
友三中医大学,Yo San University of Traditional Chinese Medicine,
约吉维马拉大学,Yogi Vemana University,
Yoobee学院,Yoobee Colleges,
纽约市立大学约克学院,York College of the City University of New York,
宾夕法尼亚约克学院,York College of Pennsylvania,
约克圣约翰大学,York St John University,
约克维尔大学,Yorkville University,
扬斯敦州立大学,Youngstown State University,
YPC国际学院,YPC International College,
切尔诺夫策国立大学,Yuriy Fedkovych Chernivtsi National University,
卡诺优素福·麦塔玛苏莱大学,"Yusuf Maitama Sule University, Kano",
萨格勒布经济与管理学院,Zagreb School of Economics and Management,
